Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
511.00,-1.51
512.00,-0.97
513.00,-0.52
514.00,-1.07
515.00,-0.16
516.00,-1.18
517.00,-1.52
518.00,-0.78
519.00,-1.24
520.00,-2.27
521.00,-1.87
522.00,-3.37
523.00,-3.82
524.00,-2.74
525.00,-1.31
526.00,-3.35
527.00,2.06
528.00,-0.62
529.00,-1.75
530.00,-0.97
531.00,-1.59
532.00,-2.09
533.00,-1.85
534.00,-1.34
535.00,-0.16
536.00,2.89
537.00,2.39
538.00,2.31
539.00,2.69
540.00,2.94
541.00,2.39
542.00,3.88
543.00,3.46
544.00,5.73
545.00,3.74
546.00,3.17
547.00,2.99
548.00,5.34
549.00,3.93
550.00,3.51
551.00,2.20
552.00,3.08
553.00,1.22
554.00,0.80
555.00,0.21
556.00,-0.33
557.00,-0.83
558.00,-0.54
559.00,-0.04
560.00,1.28
561.00,4.78
562.00,1.58
563.00,1.27
564.00,2.17
565.00,1.85
566.00,1.96
567.00,0.84
568.00,-0.72
569.00,-0.27
570.00,0.51
571.00,0.55
572.00,1.83
573.00,1.73
574.00,1.10
575.00,0.19
576.00,0.27
577.00,-1.77
578.00,0.46
579.00,0.57
580.00,1.40
581.00,-0.57
582.00,0.14
583.00,0.93
584.00,2.15
585.00,1.24
586.00,0.61
587.00,-0.62
588.00,0.68
589.00,1.58
590.00,2.28
591.00,3.74
592.00,1.69
593.00,2.02
594.00,2.19
595.00,3.22
596.00,2.84
597.00,3.95
598.00,4.03
599.00,3.52
600.00,5.90
601.00,3.73
602.00,4.65
603.00,3.71
604.00,2.13
605.00,2.35
606.00,2.96
607.00,2.30
608.00,0.69
609.00,2.34
610.00,1.02
611.00,1.11
612.00,-0.22
613.00,-0.73
614.00,-0.14
615.00,-0.06
616.00,-1.05
617.00,-3.12
618.00,-4.04
619.00,0.13
620.00,-0.82
621.00,-1.27
622.00,1.99
623.00,0.45
624.00,0.92
625.00,2.59
626.00,3.89
627.00,0.58
628.00,-0.13
629.00,-0.05
630.00,1.65
631.00,1.16
632.00,1.74
633.00,-0.29
634.00,1.88
635.00,1.10
636.00,-0.20
637.00,0.53
638.00,1.11
639.00,0.92
640.00,-0.39
641.00,-1.44
642.00,0.16
643.00,0.44
644.00,-0.98
645.00,0.01
646.00,-0.92
647.00,1.09
648.00,0.97
649.00,0.37
650.00,-0.10
651.00,-0.14
652.00,2.35
653.00,2.31
654.00,-0.64
655.00,-0.89
656.00,-0.55
657.00,0.20
658.00,0.74
659.00,0.91
660.00,0.91
661.00,2.12
662.00,2.05
663.00,2.12
664.00,-0.34
665.00,-1.32
666.00,0.70
667.00,-0.16
668.00,-1.23
669.00,-0.53
670.00,-1.55
671.00,-0.66
672.00,-1.40
673.00,-3.31
674.00,-2.48
675.00,-1.74
676.00,-2.74
677.00,-1.13
678.00,-2.31
679.00,-2.49
680.00,-1.76
681.00,-1.50
682.00,-1.32
683.00,-2.94
684.00,-3.18
685.00,0.70
686.00,0.27
687.00,0.86
688.00,1.93
689.00,5.86
690.00,1.24
691.00,1.73
692.00,1.20
693.00,1.01
694.00,-0.93
695.00,0.57
696.00,2.20
697.00,1.26
698.00,1.35
699.00,2.26
700.00,-1.52
701.00,-0.99
702.00,-1.96
703.00,0.53
704.00,-3.01
705.00,-2.73
706.00,1.22
707.00,-1.34
708.00,-0.02
709.00,-0.32
710.00,1.21
711.00,1.47
712.00,3.39
713.00,5.74
714.00,1.83
715.00,1.07
716.00,1.14
717.00,2.07
718.00,1.60
719.00,1.20
720.00,1.56
721.00,0.83
722.00,0.51
723.00,1.25
724.00,1.18
725.00,1.43
726.00,0.28
727.00,-1.16
728.00,1.86
729.00,0.64
730.00,-0.99
731.00,-1.09
732.00,-0.08
733.00,0.01
734.00,-0.61
735.00,-0.41
736.00,0.85
737.00,1.72
738.00,1.48
739.00,-0.11
740.00,-0.84
741.00,-2.31
742.00,-0.72
743.00,-0.07
744.00,-1.84
745.00,-1.29
746.00,-2.46
747.00,0.01
748.00,1.01
749.00,-0.57
750.00,1.62
751.00,2.40
752.00,0.81
753.00,1.64
754.00,0.69
755.00,-0.44
756.00,2.18
757.00,-1.04
758.00,-2.03
759.00,-0.79
760.00,-1.16
761.00,-1.74
762.00,-0.63
763.00,-2.46
764.00,-1.33
765.00,-1.80
766.00,-0.97
767.00,-2.16
768.00,-3.60
769.00,-3.17
770.00,-2.29
771.00,0.57
772.00,1.34
773.00,1.32
774.00,-0.50
775.00,0.03
776.00,-0.58
777.00,-0.74
778.00,1.87
779.00,1.43
780.00,0.02
781.00,-1.69
782.00,0.13
783.00,2.08
784.00,1.11
785.00,-0.46
786.00,-1.12
787.00,-0.50
788.00,-1.31
789.00,0.74
790.00,-0.28
791.00,-0.35
792.00,-0.84
793.00,0.52
794.00,-1.37
795.00,1.23
796.00,-0.20
797.00,1.11
798.00,1.75
799.00,2.45
800.00,1.11
801.00,0.29
802.00,3.50
803.00,0.42
804.00,1.00
805.00,0.73
806.00,2.53
807.00,0.92
808.00,1.78
809.00,-0.95
810.00,-0.58
811.00,-1.88
812.00,-2.01
813.00,-0.43
814.00,1.28
815.00,1.41
816.00,-2.23
817.00,-0.82
818.00,-0.12
819.00,-0.41
820.00,2.25
821.00,2.45
822.00,2.27
823.00,2.09
824.00,3.11
825.00,4.54
826.00,6.20
827.00,2.94
828.00,6.31
829.00,4.28
830.00,3.29
831.00,4.47
832.00,2.60
833.00,1.88
834.00,0.99
835.00,0.01
836.00,0.68
837.00,2.13
838.00,-1.03
839.00,-1.96
840.00,-1.54
841.00,-2.82
842.00,-1.17
843.00,-3.49
844.00,-2.44
845.00,-1.78
846.00,-0.90
847.00,-2.40
848.00,-0.89
849.00,-2.51
850.00,-2.61
851.00,0.05
852.00,-1.27
853.00,-0.96
854.00,0.58
855.00,-0.73
856.00,-1.03
857.00,-1.90
858.00,0.60
859.00,1.34
860.00,1.80
861.00,1.14
862.00,0.99
863.00,0.14
864.00,0.94
865.00,1.32
866.00,-0.08
867.00,0.13
868.00,-0.40
869.00,0.86
870.00,0.82
871.00,-0.34
872.00,-0.36
873.00,-0.48
874.00,-2.44
875.00,-1.30
876.00,1.70
877.00,-0.60
878.00,-1.37
879.00,-3.09
880.00,-2.79
881.00,-3.08
882.00,-1.74
883.00,0.41
884.00,-1.80
885.00,-2.69
886.00,-1.35
887.00,-1.59
888.00,-2.79
889.00,-1.49
890.00,-1.01
891.00,-1.24
892.00,0.78
893.00,0.59
894.00,1.99
895.00,5.04
896.00,1.35
897.00,2.54
898.00,2.96
899.00,1.44
900.00,0.79
901.00,1.70
902.00,1.54
903.00,2.75
904.00,1.74
905.00,3.04
906.00,5.54
907.00,3.07
908.00,3.50
909.00,6.11
910.00,3.68
911.00,1.83
912.00,1.48
913.00,0.69
914.00,1.26
915.00,-0.48
916.00,0.22
917.00,2.63
918.00,1.54
919.00,2.81
920.00,2.88
921.00,1.55
922.00,1.79
923.00,1.82
924.00,2.66
925.00,1.94
926.00,1.35
927.00,0.74
928.00,-0.30
929.00,1.89
930.00,1.98
931.00,-0.09
932.00,1.46
933.00,0.81
934.00,2.06
935.00,0.21
936.00,1.34
937.00,1.68
938.00,3.31
939.00,4.47
940.00,-1.55
941.00,1.49
942.00,1.92
943.00,3.68
944.00,1.20
945.00,1.29
946.00,1.74
947.00,-0.34
948.00,-1.10
949.00,-1.13
950.00,-1.02
951.00,-0.14
952.00,0.40
953.00,2.04
954.00,1.50
955.00,-1.28
956.00,0.46
957.00,0.85
958.00,0.94
959.00,-0.95
960.00,1.28
961.00,2.66
962.00,1.26
963.00,-0.82
964.00,-1.52
965.00,-0.88
966.00,1.69
967.00,0.37
968.00,1.15
969.00,0.35
970.00,1.70
971.00,1.19
972.00,1.63
973.00,0.98
974.00,0.66
975.00,2.12
976.00,1.93
977.00,1.53
978.00,-0.73
979.00,-0.87
980.00,-0.79
981.00,-1.24
982.00,-2.29
983.00,-3.06
984.00,-2.82
985.00,-2.26
986.00,-0.14
987.00,-0.02
988.00,0.61
989.00,-0.39
990.00,0.54
991.00,1.71
992.00,-1.96
993.00,1.11
994.00,2.58
995.00,1.17
996.00,0.78
997.00,2.04
998.00,1.42
999.00,2.27
1000.00,0.71
1001.00,0.61
1002.00,-0.79
1003.00,3.99
1004.00,0.31
1005.00,2.55
1006.00,6.25
1007.00,-0.90
1008.00,-0.23
1009.00,0.64
1010.00,-0.27
1011.00,-0.43
1012.00,0.31
1013.00,3.08
1014.00,0.98
1015.00,-0.19
1016.00,0.43
1017.00,1.01
1018.00,0.04
1019.00,3.95
1020.00,2.31
1021.00,0.76
1022.00,-2.63
1023.00,-1.68
1024.00,-1.90
1025.00,-1.46
1026.00,-0.80
1027.00,-0.82
1028.00,0.90
1029.00,0.84
1030.00,-2.62
1031.00,-0.06
1032.00,-0.94
1033.00,-0.04
1034.00,-0.04
1035.00,1.04
1036.00,-0.29
1037.00,-0.81
1038.00,0.17
1039.00,1.48
1040.00,1.23
1041.00,0.07
1042.00,3.30
1043.00,0.85
1044.00,0.69
1045.00,-0.19
1046.00,-1.68
1047.00,-2.05
1048.00,-1.97
1049.00,-2.86
1050.00,-2.23
1051.00,-3.97
1052.00,-1.65
1053.00,-0.77
1054.00,-1.17
1055.00,0.79
1056.00,-3.15
1057.00,0.16
1058.00,-1.77
1059.00,-3.09
1060.00,-2.09
1061.00,-1.02
1062.00,-2.22
1063.00,-1.63
1064.00,-3.24
1065.00,-2.51
1066.00,-3.23
1067.00,-2.77
1068.00,-1.39
1069.00,-0.22
1070.00,-0.28
1071.00,0.03
1072.00,-2.09
1073.00,0.73
1074.00,0.48
1075.00,-2.28
1076.00,-0.84
1077.00,-0.32
1078.00,-0.29
1079.00,-0.23
1080.00,-4.00
1081.00,-1.82
1082.00,-2.67
1083.00,-2.28
1084.00,-2.52
1085.00,-1.44
1086.00,-2.11
1087.00,-0.92
1088.00,-2.84
1089.00,0.51
1090.00,-0.28
1091.00,-0.48
