Country_ID,Country_Name,Country_Name_Legacy,Region,UN_Region,Annex I,Collection,Collection_for_website
583,"Micronesia, Federated States of",FEDERATED STATES OF MICRONESIA,Asia Pacific,Micronesia,FALSE,Pacific Islands,Pacific Islands
584,Marshall Islands,MARSHALL ISLANDS,Asia Pacific,Micronesia,FALSE,Pacific Islands,Pacific Islands
585,Palau,PALAU,Asia Pacific,Micronesia,FALSE,Pacific Islands,Pacific Islands
586,Pakistan,PAKISTAN,Asia Pacific,"Asia, Southern",FALSE,Pakistan,Pakistan
588,East and West Pakistan,EAST & WEST PAKISTAN,Asia Pacific,"Asia, Southern",FALSE,Pakistan,Pakistan
590,Panama [exc. Canal Zone],PANAMA,South and Central America,"America, Central",FALSE,Panama,
591,Panama,PANAMA,South and Central America,"America, Central",FALSE,Panama,Panama
592,Panama Canal Zone,FORMER PANAMA CANAL ZONE,South and Central America,"America, Central",FALSE,Panama,Panama
598,Papua New Guinea,PAPUA NEW GUINEA,Asia Pacific,Melanesia,FALSE,,
600,Paraguay,PARAGUAY,South and Central America,"America, South",FALSE,,
604,Peru,PERU,South and Central America,"America, South",FALSE,,
608,Philippines,PHILIPPINES,Asia Pacific,"Asia, South-eastern",FALSE,,
616,Poland,POLAND,Europe,"Europe, Eastern",TRUE,,
620,Portugal,PORTUGAL,Europe,"Europe, Southern",TRUE,,
624,Guinea-Bissau,GUINEA BISSAU,Africa,"Africa, Western",FALSE,,
626,Timor-Leste,TIMOR-LESTE (FORMERLY EAST TIMOR),Asia Pacific,"Asia, South-eastern",FALSE,Indonesia,Indonesia
630,Puerto Rico,PUERTO RICO,South and Central America,Caribbean,FALSE,United States,
634,Qatar,QATAR,Middle East,"Asia, Western",FALSE,,
638,Reunion,REUNION,Africa,"Africa, Eastern",FALSE,France,France
642,Romania,ROMANIA,Europe,"Europe, Eastern",TRUE,,
643,Russian Federation,RUSSIAN FEDERATION,Commonwealth of Independent States,"Europe, Eastern",TRUE,Soviet Union,Soviet Union
645,Ruanda-Urundi,RWANDA-URUNDI,Africa,"Africa, Eastern",FALSE,Ruanda-Urundi,Ruanda-Urundi
646,Rwanda,RWANDA,Africa,"Africa, Eastern",FALSE,Ruanda-Urundi,Ruanda-Urundi
647,Okinawa,RYUKYU ISLANDS,Asia Pacific,"Asia, Eastern",FALSE,Japan,Japan
652,Saint Barthélemy,SAINT BARTHELEMY,South and Central America,Caribbean,FALSE,France,France
654,Saint Helena,SAINT HELENA,Africa,"Africa, Western",FALSE,,
658,St. Kitts-Nevis-Anguilla,ST. KITTS-NEVIS-ANGUILLA,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
659,Saint Kitts and Nevis,ST. KITTS-NEVIS,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
660,Anguilla,ANGUILLA,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
662,Saint Lucia,SAINT LUCIA,South and Central America,Caribbean,FALSE,,
663,Saint Martin (French Part),SAINT MARTIN (French part),South and Central America,Caribbean,FALSE,France,France
666,Saint Pierre and Miquelon,ST. PIERRE & MIQUELON,North America,"America, Northern",FALSE,,
670,Saint Vincent and the Grenadines,ST. VINCENT & THE GRENADINES,South and Central America,Caribbean,FALSE,,
674,San Marino,NA,Europe,"Europe, Southern",FALSE,Italy,
678,Sao Tome and Principe,SAO TOME & PRINCIPE,Africa,"Africa, Middle",FALSE,,
682,Saudi Arabia,SAUDI ARABIA,Middle East,"Asia, Western",FALSE,,
686,Senegal,SENEGAL,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
688,Serbia,SERBIA,Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
690,Seychelles,SEYCHELLES,Africa,"Africa, Eastern",FALSE,,
694,Sierra Leone,SIERRA LEONE,Africa,"Africa, Western",FALSE,,
702,Singapore,SINGAPORE,Asia Pacific,"Asia, South-eastern",FALSE,Malaysia,Malaysia
703,Slovakia,SLOVAKIA,Europe,"Europe, Eastern",TRUE,Czechoslovakia,Czechoslovakia
704,Viet Nam,VIET NAM,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
705,Slovenia,SLOVENIA,Europe,"Europe, Southern",TRUE,Yugoslavia,Yugoslavia
706,Somalia,SOMALIA,Africa,"Africa, Eastern",FALSE,,
710,South Africa,SOUTH AFRICA,Africa,"Africa, Southern",FALSE,,
711,Southern African Customs Union (SACU),CUSTOMS UNION OF SOUTH AFRICA,Africa,"Africa, Southern",FALSE,,
716,Zimbabwe,ZIMBABWE,Africa,"Africa, Eastern",FALSE,Rhodesia-Nyasaland,Rhodesia-Nyasaland
717,Rhodesia-Nyasaland,RHODESIA-NYASALAND,Africa,"Africa, Eastern",FALSE,Rhodesia-Nyasaland,Rhodesia-Nyasaland
720,Democratic Yemen [former],FORMER DEMOCRATIC YEMEN,Middle East,"Asia, Western",FALSE,Yemen,Yemen
724,Spain,SPAIN,Europe,"Europe, Southern",TRUE,,
728,South Sudan,REPUBLIC OF SOUTH SUDAN,Africa,"Africa, Eastern",FALSE,Sudan,Sudan
729,Sudan,REPUBLIC OF SUDAN,Africa,"Africa, Northern",FALSE,Sudan,Sudan
732,Western Sahara,WESTERN SAHARA,Africa,"Africa, Northern",FALSE,,
736,Sudan [up to 2011],SUDAN,Africa,"Africa, Northern",FALSE,Sudan,Sudan
740,Suriname,SURINAME,South and Central America,"America, South",FALSE,,
748,Eswatini,SWAZILAND,Africa,"Africa, Southern",FALSE,,
752,Sweden,SWEDEN,Europe,"Europe, Northern",TRUE,,
756,Switzerland,NA,Europe,"Europe, Western",TRUE,Switzerland,
